Timestamp,Source_IP,Packet_Size,Request_Count
1742321769.373285,192.168.0.100,198,1
1742321769.373425,192.168.0.100,1286,2
1742321769.594508,20.189.173.9,56,1
1742321769.594508,20.189.173.9,163,2
1742321769.63781,192.168.0.100,54,3
1742321770.076419,192.168.0.100,143,4
1742321770.080835,192.168.0.1,302,1
1742321770.091993,192.168.0.100,66,5
1742321770.092622,192.168.0.100,66,6
1742321770.093999,192.168.0.1,68,2
1742321770.093999,192.168.0.1,66,3
1742321770.094187,192.168.0.100,54,7
1742321770.094237,192.168.0.100,54,8
1742321770.094288,192.168.0.100,253,9
1742321770.094337,192.168.0.100,245,10
1742321770.095473,192.168.0.1,56,4
1742321770.095473,192.168.0.1,54,5
1742321770.098457,192.168.0.1,1304,6
1742321770.098605,192.168.0.100,54,11
1742321770.099867,192.168.0.1,56,7
1742321770.099867,192.168.0.1,54,8
1742321770.099969,192.168.0.100,54,12
1742321770.187535,192.168.0.1,262,9
1742321770.189805,192.168.0.1,1514,10
1742321770.189875,192.168.0.100,54,13
1742321770.192452,192.168.0.1,1514,11
1742321770.192452,192.168.0.1,1514,12
1742321770.192541,192.168.0.100,54,14
1742321770.192598,192.168.0.1,241,13
1742321770.192644,192.168.0.100,54,15
1742321770.192707,192.168.0.100,54,16
1742321770.208524,192.168.0.1,56,14
1742321771.085529,192.168.0.1,314,15
1742321771.089118,192.168.0.1,314,16
1742321771.095136,192.168.0.1,323,17
1742321771.098866,192.168.0.1,323,18
1742321771.101951,192.168.0.1,378,19
1742321771.10538,192.168.0.1,378,20
1742321771.111636,192.168.0.1,388,21
1742321771.115044,192.168.0.1,388,22
1742321771.512263,192.168.0.100,71,17
1742321771.512619,192.168.0.100,71,18
1742321771.513086,192.168.0.100,77,19
1742321771.513471,192.168.0.100,77,20
1742321771.517649,192.168.0.1,103,23
1742321771.517827,192.168.0.1,149,24
1742321771.517827,192.168.0.1,156,25
1742321771.517827,192.168.0.1,109,26
1742321771.519354,192.168.0.100,1292,21
1742321771.519447,192.168.0.100,1292,22
1742321771.519619,192.168.0.100,122,23
1742321771.525505,104.18.41.158,1242,1
1742321771.528458,104.18.41.158,1242,2
